Salutation,Last Name,First Name,Vlookup Name,Full Name,City,Country,Position,Department,Affiliation,E_mail,Contact Info,URL,Organization,Organization_Committee,Organization_Role,Congress,Congress_Year,Congress_Session,Congress_Title_of_Session,Congress_Role,Journal,Journal_Editorial Board,Journal_Role,Guideline_Name,Guideline_Year,Guideline_Role,CT_NCT_Id_Breast Cancer,title,recruiting,conditions,interventions,lead_sponsor,other_sponsor,phase,study_type,Role,start_dt,end_dt,First Author,Last Author,Total Pub Count,Total 2002-2006,Total 2007-2011,Total 2012-2017
,Arun,Banu K,Arun B,Banu K Arun,(Blank),USA,(Blank),(Blank),Nashville Breast Cente,(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/breast-center/high-risk-screening-and-genetics-clinic.html,The University of Texas MD Anderson Cancer Center,High Risk Breast Screening and Genetics Clinic,Clinician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arun,Banu K,Arun B,Banu K Arun,(Blank),USA,(Blank),(Blank),Nashville Breast Cente,(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/breast-center/meet-our-team.html,The University of Texas MD Anderson Cancer Center,Nellie B. Connally Breast Center,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asrari,Fariba,Asrari F,Fariba Asrari,(Blank),USA,Director,(Blank),Johns Hopkins Breast Center - Green Spring Station,(Blank),(Blank),http://www.hopkinsmedicine.org/breast_center/team_approach/our_team/radiation_oncologists.html,Johns Hopkins University,Johns Hopkins Breast Center,Radiation Oncologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Attard,Courtney,Attard C,Courtney Attard,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://www.karmanos.org/cancer-care/teams/breast-team,Barbara Ann Karmanos Cancer Center,Breast Cancer Program,Genetic Counselor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Babiera,Gildy V,Babiera G,Gildy V Babiera,Houston,USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.mdanderson.org/research/departments-labs-institutes/programs-centers/inflammatory-breast-cancer-research-program/members.html,The University of Texas MD Anderson Cancer Center,Inflammatory Breast Cancer Research Program,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Babiera,Gildy V,Babiera G,Gildy V Babiera,Houston,USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/breast-center/inflammatory-breast-cancer-clinic.html,The University of Texas MD Anderson Cancer Center,Morgan Welch Inflammatory Breast Cancer Clinic,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Babiera,Gildy V,Babiera G,Gildy V Babiera,Houston,USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/breast-center/meet-our-team.html,The University of Texas MD Anderson Cancer Center,Nellie B. Connally Breast Center,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bajaj,Sunil,Bajaj S,Sunil Bajaj,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://www.karmanos.org/cancer-care/teams/breast-team,Barbara Ann Karmanos Cancer Center,Breast Cancer Program,Radiologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ballard,Chanteel,Ballard C,Chanteel Ballard,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://healthcare.utah.edu/huntsmancancerinstitute/patient-care/clinics-and-care-teams/breast-cancer-program/our-team.php,University of Utah,Huntsman Cancer Institute’s Breast Cancer Program,Medical Oncologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bandyopadhyay,Sudeshna,Bandyopadhyay S,Sudeshna Bandyopadhyay,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://www.karmanos.org/cancer-care/teams/breast-team,Barbara Ann Karmanos Cancer Center,Breast Cancer Program,Pathology Specialist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bantug,Elissa T,Bantug E,Elissa T Bantug,Baltimore,USA,(Blank),(Blank),John Hopkins Medicine,(Blank),(Blank),http://www.hopkinsmedicine.org/breast_center/team_approach/our_team/survivorship/,Johns Hopkins University,Johns Hopkins Breast Center,Survivorship Program team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Barcenas,Carlos,Barcenas C,Carlos Barcenas,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/breast-center/meet-our-team.html,The University of Texas MD Anderson Cancer Center,Nellie B. Connally Breast Center,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Barrett,William,Barrett W,William Barrett,(Blank),USA,"Professor; Chair, Department of Radiation Oncology",Department of Radiation Oncology,UC Health Barrett Cancer Center,(Blank),(Blank),http://uchealth.com/cancer/centers-programs/breast-cancer-center/our-team/,University of Cincinnati Cancer Institute,Breast Cancer Center,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Bast, Jr",Robert C,"Bast, Jr R","Robert C Bast, Jr",(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/breast-center/meet-our-team.html,The University of Texas MD Anderson Cancer Center,Nellie B. Connally Breast Center,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bechtel,Susan,Bechtel S,Susan Bechtel,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://stanfordhealthcare.org/about-us/leadership.html,Stanford Health Care,Leadership team,Board Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Beck,Anna,Beck A,Anna Beck,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://healthcare.utah.edu/huntsmancancerinstitute/patient-care/clinics-and-care-teams/breast-cancer-program/our-team.php,University of Utah,Huntsman Cancer Institute’s Breast Cancer Program,Medical Oncologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bedrosian,Isabelle,Bedrosian I,Isabelle Bedrosian,Houston,USA,(Blank),(Blank),University of Texas-M. D. Anderson Cancer Center,(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/breast-center/meet-our-team.html,The University of Texas MD Anderson Cancer Center,Nellie B. Connally Breast Center,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bepler,Gerold,Bepler G,Gerold Bepler,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://www.karmanos.org/Leadership,Barbara Ann Karmanos Cancer Center,Leadership team,President,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bepler,Gerold,Bepler G,Gerold Bepler,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://www.karmanos.org/Leadership,Barbara Ann Karmanos Cancer Center,Leadership team,CEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bertelsen,Carl,Bertelsen C,Carl Bertelsen,(Blank),USA,Clinical Professor,(Blank),Stanford Cancer Center South Bay,(Blank),(Blank),https://stanfordhealthcare.org/content/shc/en/search-results.doctors.html/&sp_clinics%7C/medical-clinics/breast-cancer-program.html%7CBreast%20Cancer%20Program#&x1=sp_spec_care_phy&q1=true&x2=sp_dr_title_groups&q2=Surgery&x3=sp_dr_titles&q3=General%20surgeon,Stanford Health Care,Breast Cancer Program,General surgeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bertelsen,Carl,Bertelsen C,Carl Bertelsen,(Blank),USA,Clinical Professor,(Blank),Stanford Cancer Center South Bay,(Blank),(Blank),https://stanfordhealthcare.org/content/shc/en/search-results.doctors.html/&sp_clinics%7C/medical-clinics/breast-cancer-program.html%7CBreast%20Cancer%20Program#&x1=sp_spec_care_phy&q1=true&x2=sp_dr_title_groups&q2=Surgery&x3=sp_dr_titles&q3=Surgical%20oncologist,Stanford Health Care,Breast Cancer Program,Surgical oncologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bevers,Therese,Bevers T,Therese Bevers,(Blank),USA,(Blank),(Blank),"Vanderbilt University School of Medicine
",(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/cancer-prevention-center/meet-our-team.html,The University of Texas MD Anderson Cancer Center,Cancer Prevention Center,Medical Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Beydoun,Rafic,Beydoun R,Rafic Beydoun,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://www.karmanos.org/cancer-care/teams/breast-team,Barbara Ann Karmanos Cancer Center,Breast Cancer Program,Pathology Specialist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bhasin,Aditya,Bhasin A,Aditya Bhasin,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://stanfordhealthcare.org/about-us/leadership.html,Stanford Health Care,Leadership team,"Vice President, Software",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bikkina,Sai,Bikkina S,Sai Bikkina,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://www.karmanos.org/cancer-care/teams/breast-team,Barbara Ann Karmanos Cancer Center,Breast Cancer Program,Medical Oncologists ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bittner,Bernadette,Bittner B,Bernadette Bittner,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://healthcare.utah.edu/huntsmancancerinstitute/patient-care/clinics-and-care-teams/breast-cancer-program/our-team.php,University of Utah,Huntsman Cancer Institute’s Breast Cancer Program,Medical Oncologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Black,Dalliah M,Black D,Dalliah M Black,Houston,USA,(Blank),(Blank),Memorial-Sloan Kettering Cancer Center,(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/breast-center/meet-our-team.html,The University of Texas MD Anderson Cancer Center,Nellie B. Connally Breast Center,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bland,Keiva,Bland K,Keiva Bland,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://www.karmanos.org/cancer-care/teams/breast-team,Barbara Ann Karmanos Cancer Center,Breast Cancer Program,Surgical Oncologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blayney,Douglas W,Blayney D,Douglas W Blayney,Stanford,USA,Professor,(Blank),Stanford Women's Cancer Center,(Blank),(Blank),https://stanfordhealthcare.org/content/shc/en/search-results.doctors.html/&sp_clinics%7C/medical-clinics/breast-cancer-program.html%7CBreast%20Cancer%20Program#&x1=sp_spec_care_phy&q1=true&x2=sp_dr_title_groups&q2=Oncology&x3=sp_dr_titles&q3=Medical%20oncologist,Stanford Health Care,Breast Cancer Program,Medical oncologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blechacz,Boris,Blechacz B,Boris Blechacz,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/cancer-prevention-center/meet-our-team.html,The University of Texas MD Anderson Cancer Center,Cancer Prevention Center,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Booser,Daniel J,Booser D,Daniel J Booser,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/breast-center/meet-our-team.html,The University of Texas MD Anderson Cancer Center,Nellie B. Connally Breast Center,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bower,Kathy,Bower K,Kathy Bower,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://healthcare.utah.edu/huntsmancancerinstitute/patient-care/clinics-and-care-teams/breast-cancer-program/our-team.php,University of Utah,Huntsman Cancer Institute’s Breast Cancer Program,Nurse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brennecke,Cecilia Margaret,Brennecke C,Cecilia Margaret Brennecke,(Blank),USA,Medical Director,(Blank),Johns Hopkins at Green Spring Station,(Blank),(Blank),http://www.hopkinsmedicine.org/breast_center/team_approach/our_team/diagnosticians/imaging.html,Johns Hopkins University,Johns Hopkins Breast Center,Diagnosticians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brewster,Abenaa M.,Brewster A,Abenaa M. Brewster,Houston,USA,(Blank),(Blank),University of Texas M.D. Anderson Cancer Center,(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/breast-center/meet-our-team.html,The University of Texas MD Anderson Cancer Center,Nellie B. Connally Breast Center,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brigham,Robert,Brigham R,Robert Brigham,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.mdanderson.org/about-md-anderson/facts-history/shared-governance-committee.html,The University of Texas MD Anderson Cancer Center,Shared Governance Committee,"Senior Vice President, Hospitals and Clinics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brinkerhoff,Ann,Brinkerhoff A,Ann Brinkerhoff,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://healthcare.utah.edu/huntsmancancerinstitute/patient-care/clinics-and-care-teams/breast-cancer-program/our-team.php,University of Utah,Huntsman Cancer Institute’s Breast Cancer Program,Nurse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Broderick,Kristen Parker,Broderick K,Kristen Parker Broderick,(Blank),USA,Assistant Professor of Plastic and Reconstructive Surgery,(Blank),(Blank),(Blank),(Blank),http://www.hopkinsmedicine.org/breast_center/team_approach/our_team/breast_plastic_reconstructive_surgeons.html,Johns Hopkins University,Johns Hopkins Breast Center,Breast Plastic and Reconstructive Surgeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brody,William,Brody W,William Brody,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://stanfordhealthcare.org/about-us/leadership.html,Stanford Health Care,Leadership team,Board Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brown,Ann L,Brown A,Ann L Brown,(Blank),USA,Assistant Professor of Radiology,Department of Radiology,UC Health West Chester Hospital,(Blank),(Blank),http://uchealth.com/cancer/centers-programs/breast-cancer-center/our-team/,University of Cincinnati Cancer Institute,Breast Cancer Center,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brown,Powel H,Brown P,Powel H Brown,Houston,USA,(Blank),(Blank),University of Texas M.D. Anderson Cancer Center,(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/breast-center/meet-our-team.html,The University of Texas MD Anderson Cancer Center,Nellie B. Connally Breast Center,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brown,Powel H,Brown P,Powel H Brown,Houston,USA,(Blank),(Blank),University of Texas M.D. Anderson Cancer Center,(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/cancer-prevention-center/meet-our-team.html,The University of Texas MD Anderson Cancer Center,Cancer Prevention Center,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brunelle,Audra,Brunelle A,Audra Brunelle,(Blank),USA,Clinical Instructor,(Blank),Stanford Cancer Center South Bay,(Blank),(Blank),https://stanfordhealthcare.org/content/shc/en/search-results.doctors.html/&sp_clinics%7C/medical-clinics/breast-cancer-program.html%7CBreast%20Cancer%20Program#&x1=sp_spec_care_phy&q1=true&x2=sp_dr_title_groups&q2=Radiology&x3=sp_dr_titles&q3=Radiologist,Stanford Health Care,Breast Cancer Program,Radiologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Buathier,Jill,Buathier J,Jill Buathier,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://stanfordhealthcare.org/about-us/leadership.html,Stanford Health Care,Leadership team,"Vice President, Chief Revenue Cycle Officer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Buchholz,Thomas A,Buchholz T,Thomas A Buchholz,Houston,USA,(Blank),(Blank),University of Texas MD Anderson Cancer Center,(Blank),(Blank),https://www.mdanderson.org/about-md-anderson/facts-history/shared-governance-committee.html,The University of Texas MD Anderson Cancer Center,Shared Governance Committee,Physician-in-Chief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Buchholz,Thomas A,Buchholz T,Thomas A Buchholz,Houston,USA,(Blank),(Blank),University of Texas MD Anderson Cancer Center,(Blank),(Blank),https://www.mdanderson.org/about-md-anderson/facts-history/shared-governance-committee.html,The University of Texas MD Anderson Cancer Center,Shared Governance Committee,Executive Vice President,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Buchholz,Thomas A,Buchholz T,Thomas A Buchholz,Houston,USA,(Blank),(Blank),University of Texas MD Anderson Cancer Center,(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/breast-center/meet-our-team.html,The University of Texas MD Anderson Cancer Center,Nellie B. Connally Breast Center,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Buchholz,Thomas A,Buchholz T,Thomas A Buchholz,Houston,USA,(Blank),(Blank),University of Texas MD Anderson Cancer Center,(Blank),(Blank),https://www.mdanderson.org/research/departments-labs-institutes/programs-centers/inflammatory-breast-cancer-research-program/members.html,The University of Texas MD Anderson Cancer Center,Inflammatory Breast Cancer Research Program,Special Advisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Buchholz,Thomas A,Buchholz T,Thomas A Buchholz,Houston,USA,(Blank),(Blank),University of Texas MD Anderson Cancer Center,(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/breast-center/inflammatory-breast-cancer-clinic.html,The University of Texas MD Anderson Cancer Center,Morgan Welch Inflammatory Breast Cancer Clinic,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Burnett,Riesa,Burnett R,Riesa Burnett,(Blank),USA,Associate Professor of Plastic & Reconstructive Surgery,Department of Surgery,UC Health Physicians Office South (West Chester),(Blank),(Blank),http://uchealth.com/cancer/centers-programs/breast-cancer-center/our-team/,University of Cincinnati Cancer Institute,Breast Cancer Center,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Buys,Saundra,Buys S,Saundra Buys,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://healthcare.utah.edu/huntsmancancerinstitute/patient-care/clinics-and-care-teams/breast-cancer-program/our-team.php,University of Utah,Huntsman Cancer Institute’s Breast Cancer Program,Medical Oncologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Buys,Saundra,Buys S,Saundra Buys,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://healthcare.utah.edu/huntsmancancerinstitute/patient-care/clinics-and-care-teams/high-risk-cancer-research-clinics-and-studies/high-risk-breast-cancer/our-team.php,University of Utah,High Risk Breast Cancer Program,Principle Investigator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Buzdar,Aman U,Buzdar A,Aman U Buzdar,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/breast-center/meet-our-team.html,The University of Texas MD Anderson Cancer Center,Nellie B. Connally Breast Center,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Byerwalter,Mariann,Byerwalter M,Mariann Byerwalter,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://stanfordhealthcare.org/about-us/leadership.html,Stanford Health Care,Leadership team,Board Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Camp,Melissa Suzanne,Camp M,Melissa Suzanne Camp,(Blank),USA,Assistant Professor of Surgery,(Blank),(Blank),(Blank),(Blank),http://www.hopkinsmedicine.org/breast_center/team_approach/our_team/breast_surgical_oncologists.html,Johns Hopkins University,Johns Hopkins Breast Center,Breast Surgical Oncologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Candelaria,Rosalind,Candelaria R,Rosalind Candelaria,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/breast-center/meet-our-team.html,The University of Texas MD Anderson Cancer Center,Nellie B. Connally Breast Center,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capano,Mary,Capano M,Mary Capano,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://www.hopkinsmedicine.org/breast_center/team_approach/our_team/nurses/,Johns Hopkins University,Johns Hopkins Breast Center,Nurse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carolin,Kathleen,Carolin K,Kathleen Carolin,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://www.karmanos.org/Leadership,Barbara Ann Karmanos Cancer Center,Leadership team,Chief Nursing Officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Catmull,Tyson,Catmull T,Tyson Catmull,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),https://healthcare.utah.edu/huntsmancancerinstitute/patient-care/clinics-and-care-teams/breast-cancer-program/our-team.php,University of Utah,Huntsman Cancer Institute’s Breast Cancer Program,Nurse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Caudle,Abigail S.,Caudle A,Abigail S. Caudle,Houston,USA,(Blank),(Blank),Levine Cancer Institute and Carolinas HealthCare System,(Blank),(Blank),https://www.mdanderson.org/patients-family/diagnosis-treatment/care-centers-clinics/breast-center/meet-our-team.html,The University of Texas MD Anderson Cancer Center,Nellie B. Connally Breast Center,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
